match_id,date,venue,innings,batting_team,bowling_team,over_end,cum_runs,cum_wkts,balls_bowled,run_rate,is_chasing,target_first_innings,req_runs,overs_remaining,balls_remaining,req_run_rate,wkts_in_hand,team1,team2,home_team,home_is_batting,winner,team_result,home_team_result
524918,2011-12-18,Western Australia Cricket Association Ground,2,Perth Scorchers,Hobart Hurricanes,6,21,3,36,3.5,True,140.0,120.0,14.0,84.0,8.571428571428571,7,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,True,Hobart Hurricanes,0,Loss
524918,2011-12-18,Western Australia Cricket Association Ground,2,Perth Scorchers,Hobart Hurricanes,10,44,4,60,4.4,True,140.0,97.0,10.0,60.0,9.7,6,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,True,Hobart Hurricanes,0,Loss
524918,2011-12-18,Western Australia Cricket Association Ground,2,Perth Scorchers,Hobart Hurricanes,15,72,7,90,4.8,True,140.0,69.0,5.0,30.0,13.8,3,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,True,Hobart Hurricanes,0,Loss
524918,2011-12-18,Western Australia Cricket Association Ground,2,Perth Scorchers,Hobart Hurricanes,20,109,10,120,5.45,True,140.0,32.0,0.0,0.0,inf,0,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,True,Hobart Hurricanes,0,Loss
524919,2011-12-20,"Brisbane Cricket Ground, Woolloongabba, Brisbane",1,Melbourne Stars,Brisbane Heat,6,44,2,36,7.333333333333333,False,,,,,,8,Brisbane Heat,Melbourne Stars,Brisbane Heat,False,Melbourne Stars,1,Loss
524919,2011-12-20,"Brisbane Cricket Ground, Woolloongabba, Brisbane",1,Melbourne Stars,Brisbane Heat,10,84,2,60,8.4,False,,,,,,8,Brisbane Heat,Melbourne Stars,Brisbane Heat,False,Melbourne Stars,1,Loss
524919,2011-12-20,"Brisbane Cricket Ground, Woolloongabba, Brisbane",1,Melbourne Stars,Brisbane Heat,15,140,3,90,9.333333333333334,False,,,,,,7,Brisbane Heat,Melbourne Stars,Brisbane Heat,False,Melbourne Stars,1,Loss
524919,2011-12-20,"Brisbane Cricket Ground, Woolloongabba, Brisbane",1,Melbourne Stars,Brisbane Heat,20,177,7,120,8.85,False,,,,,,3,Brisbane Heat,Melbourne Stars,Brisbane Heat,False,Melbourne Stars,1,Loss
524919,2011-12-20,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2,Brisbane Heat,Melbourne Stars,6,60,2,36,10.0,True,177.0,118.0,14.0,84.0,8.428571428571429,8,Brisbane Heat,Melbourne Stars,Brisbane Heat,True,Melbourne Stars,0,Loss
524919,2011-12-20,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2,Brisbane Heat,Melbourne Stars,10,88,3,60,8.8,True,177.0,90.0,10.0,60.0,9.0,7,Brisbane Heat,Melbourne Stars,Brisbane Heat,True,Melbourne Stars,0,Loss
524919,2011-12-20,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2,Brisbane Heat,Melbourne Stars,15,118,7,90,7.866666666666666,True,177.0,60.0,5.0,30.0,12.0,3,Brisbane Heat,Melbourne Stars,Brisbane Heat,True,Melbourne Stars,0,Loss
524919,2011-12-20,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2,Brisbane Heat,Melbourne Stars,20,169,7,120,8.45,True,177.0,9.0,0.0,0.0,inf,3,Brisbane Heat,Melbourne Stars,Brisbane Heat,True,Melbourne Stars,0,Loss
524920,2011-12-21,"Bellerive Oval, Hobart",1,Hobart Hurricanes,Sydney Sixers,6,37,1,36,6.166666666666667,False,,,,,,9,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,True,Hobart Hurricanes,1,Win
524920,2011-12-21,"Bellerive Oval, Hobart",1,Hobart Hurricanes,Sydney Sixers,10,63,1,60,6.3,False,,,,,,9,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,True,Hobart Hurricanes,1,Win
524920,2011-12-21,"Bellerive Oval, Hobart",1,Hobart Hurricanes,Sydney Sixers,15,111,1,90,7.4,False,,,,,,9,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,True,Hobart Hurricanes,1,Win
524920,2011-12-21,"Bellerive Oval, Hobart",1,Hobart Hurricanes,Sydney Sixers,20,169,3,120,8.45,False,,,,,,7,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,True,Hobart Hurricanes,1,Win
